date,sentiment
2019-08-29,-0.174359
2019-08-30,-0.417422
2019-08-31,-0.381601
2019-09-01,-0.55561
2019-09-02,-0.42356
2019-09-03,-0.241293
2019-09-04,-0.480887
2019-09-05,-0.565476
2019-09-06,-0.483349
2019-09-07,-0.243182
2019-09-08,-0.72626
2019-09-09,-0.533884
2019-09-10,-0.429948
2019-09-11,-0.368401
2019-09-12,-0.59201
2019-09-13,-0.226657
2019-09-14,-0.650642
2019-09-15,-0.574167
2019-09-16,-0.243519
2019-09-17,-0.287549
2019-09-18,-0.440127
2019-09-19,-0.176531
2019-09-20,-0.057846
2019-09-21,-0.592827
2019-09-22,-0.512479
2019-09-23,-0.306218
2019-09-24,-0.087321
2019-09-25,-0.074546
2019-09-26,-0.497924
2019-09-27,-0.357894
2019-09-28,-0.366729
2019-09-29,-0.301593
2019-09-30,-0.049771
2019-10-01,-0.178259
2019-10-02,-0.42122
2019-10-03,-0.114645
2019-10-04,-0.318497
2019-10-05,-0.549691
2019-10-06,-0.28229
2019-10-07,-0.298946
2019-10-08,-0.114458
2019-10-09,-0.149787
2019-10-10,-0.637078
2019-10-11,-0.297474
2019-10-12,-0.472381
2019-10-13,-0.805506
2019-10-14,-0.431533
2019-10-15,-0.329
2019-10-16,-0.102828
2019-10-17,-0.229762
2019-10-18,-0.415659
2019-10-19,-0.444732
2019-10-20,-0.119859
2019-10-21,-0.173101
2019-10-22,-0.362275
2019-10-23,-0.28253
2019-10-24,-0.222446
2019-10-25,0.10484
2019-10-26,-0.097399
2019-10-27,-0.066286
2019-10-28,0.107897
2019-10-29,-0.2637
2019-10-30,-0.40678
2019-10-31,-0.272451
2019-11-01,-0.231964
2019-11-02,-0.446231
2019-11-03,-0.302291
2019-11-04,-0.078394
2019-11-05,-0.417272
2019-11-06,-0.259211
2019-11-07,-0.332838
2019-11-08,-0.174762
2019-11-09,-0.096186
2019-11-10,-0.131629
2019-11-11,-0.55583
2019-11-12,-0.158868
2019-11-13,-0.181672
2019-11-14,-0.05398
2019-11-15,-0.491164
2019-11-16,-0.255325
2019-11-17,-0.723482
2019-11-18,-0.039756
2019-11-19,-0.177748
2019-11-20,-0.29131
2019-11-21,-0.330514
2019-11-22,-0.202346
2019-11-23,-0.088772
2019-11-24,-0.177201
2019-11-25,-0.169016
2019-11-26,-0.115781
2019-11-27,0.147512
2019-11-28,-0.361891
2019-11-29,-0.170198
2019-11-30,-0.069832
2019-12-01,-0.112745
2019-12-02,0.000603
2019-12-03,-0.269495
2019-12-04,-0.087898
2019-12-05,-0.247625
2019-12-06,-0.610555
2019-12-07,-0.285856
2019-12-08,-0.171445
2019-12-09,-0.481428
2019-12-10,-0.259905
2019-12-11,-0.007806
2019-12-12,-0.281776
2019-12-13,-0.500257
2019-12-14,-0.158217
2019-12-15,-0.41651
2019-12-16,-0.279981
2019-12-17,-0.075755
2019-12-18,-0.083034
2019-12-19,-0.437917
2019-12-20,0.135607
2019-12-21,-0.17948
2019-12-22,-0.199541
2019-12-23,0.246413
2019-12-24,-0.305443
2019-12-25,-0.095871
2019-12-26,-0.126862
2019-12-27,-0.401804
2019-12-28,-0.565602
2019-12-29,-0.443546
2019-12-30,-0.429587
2019-12-31,-0.573534
2020-01-01,-0.100781
2020-01-02,-0.254302
2020-01-03,-0.591751
2020-01-04,-0.389699
2020-01-05,-0.668481
2020-01-06,-0.141562
2020-01-07,-0.133285
2020-01-08,-0.530416
2020-01-09,-0.559224
2020-01-10,-0.247024
2020-01-11,-0.432044
2020-01-12,-0.509391
2020-01-13,-0.076501
2020-01-14,-0.67217
2020-01-15,-0.527344
2020-01-16,-0.177056
2020-01-17,-0.420131
2020-01-18,-0.337284
2020-01-19,-0.533674
2020-01-20,-0.196408
2020-01-21,-0.186316
2020-01-22,-0.562884
2020-01-23,-0.211722
2020-01-24,-0.094931
2020-01-25,-0.261022
2020-01-26,-0.112425
2020-01-27,-0.24761
2020-01-28,-0.164244
2020-01-29,-0.434097
2020-01-30,-0.21037
2020-01-31,-0.24533
2020-02-01,-0.302031
2020-02-02,-0.471467
2020-02-03,-0.436303
2020-02-04,-0.373222
2020-02-05,-0.264538
2020-02-06,-0.399
2020-02-07,-0.510088
2020-02-08,-0.235252
2020-02-09,-0.336427
2020-02-10,-0.303072
2020-02-11,0.036992
2020-02-12,-0.441496
2020-02-13,-0.11869
2020-02-14,-0.513737
2020-02-15,-0.351683
2020-02-16,-0.504873
2020-02-17,-0.055832
2020-02-18,-0.88393
2020-02-19,-0.564625
2020-02-20,-0.547165
2020-02-21,0.058688
2020-02-22,-0.009653
2020-02-23,-0.025453
2020-02-24,-0.472906
2020-02-25,0.034302
2020-02-26,-0.501037
2020-02-27,-0.593757
2020-02-28,-0.306511
2020-02-29,-0.579058
2020-03-01,-0.424057
2020-03-02,0.358031
2020-03-03,-0.776724
2020-03-04,-0.827431
2020-03-05,-0.283895
2020-03-06,0.158289
2020-03-07,-0.495121
2020-03-08,-0.587897
2020-03-09,-0.257463
2020-03-10,-0.144624
2020-03-11,-0.745472
2020-03-12,-0.345114
2020-03-13,-0.846273
2020-03-14,-0.407698
2020-03-15,-0.403149
2020-03-16,-0.058634
2020-03-17,-0.009053
2020-03-18,-0.263331
2020-03-19,-0.191662
2020-03-20,-0.340345
2020-03-21,-0.163332
2020-03-22,-0.099951
2020-03-23,-0.067905
2020-03-24,-0.078101
2020-03-25,-0.120167
2020-03-26,0.014192
2020-03-27,-0.167313
2020-03-28,-0.076847
2020-03-29,-0.276252
2020-03-30,-0.130191
2020-03-31,-0.041332
2020-04-01,-0.432861
2020-04-02,-0.011854
2020-04-03,0.015525
2020-04-04,-0.381879
2020-04-05,-0.090072
2020-04-06,-0.382209
2020-04-07,0.077442
2020-04-08,-0.259231
2020-04-09,-0.080409
2020-04-10,-0.318719
2020-04-11,-0.121741
2020-04-12,-0.357311
2020-04-13,-0.131261
2020-04-14,-0.035684
2020-04-15,-0.320547
2020-04-16,-0.218447
2020-04-17,-0.041096
2020-04-18,-0.261507
2020-04-19,-0.393816
2020-04-20,-0.222092
2020-04-21,-0.136518
2020-04-22,-0.410743
2020-04-23,0.123116
2020-04-24,0.03194
2020-04-25,-0.181427
2020-04-26,-0.050573
2020-04-27,0.020439
2020-04-28,-0.211162
2020-04-29,-0.350407
2020-04-30,0.021577
2020-05-01,-0.089376
2020-05-02,-0.126685
2020-05-03,-0.234145
2020-05-04,0.113908
2020-05-05,-0.08938
2020-05-06,0.054457
2020-05-07,-0.273304
2020-05-08,-0.014123
2020-05-09,-0.421901
2020-05-10,-0.259939
2020-05-11,0.001228
2020-05-12,-0.172054
2020-05-13,-0.010945
2020-05-14,-0.034699
2020-05-15,-0.166621
2020-05-16,-0.088458
2020-05-17,-0.363697
2020-05-18,-0.002411
2020-05-19,0.036262
2020-05-20,-0.176742
2020-05-21,-0.432341
2020-05-22,-0.486839
2020-05-23,-0.106694
2020-05-24,-0.363242
2020-05-25,-0.32728
2020-05-26,-0.313102
2020-05-27,-0.423168
2020-05-28,0.029691
2020-05-29,-0.344129
2020-05-30,-0.107634
2020-05-31,-0.458656
2020-06-01,-0.279782
2020-06-02,-0.101866
2020-06-03,-0.26615
2020-06-04,-0.206956
2020-06-05,-0.181466
2020-06-06,-0.236111
2020-06-07,-0.255535
2020-06-08,-0.032557
2020-06-09,-0.415896
2020-06-10,-0.235234
2020-06-11,-0.325184
2020-06-12,-0.131623
2020-06-13,-0.135399
2020-06-14,-0.653076
2020-06-15,-0.235056
2020-06-16,0.065015
2020-06-17,-0.381542
2020-06-18,-0.294902
2020-06-19,-0.029441
2020-06-20,-0.309465
2020-06-21,-0.421101
2020-06-22,-0.576917
2020-06-23,-0.068315
2020-06-24,-0.167736
2020-06-25,-0.234962
2020-06-26,-0.460489
2020-06-27,-0.244588
2020-06-28,-0.58322
2020-06-29,-0.090618
2020-06-30,-0.281114
2020-07-01,-0.235242
2020-07-02,-0.15654
2020-07-03,-0.058944
2020-07-04,-0.12441
2020-07-05,-0.600992
2020-07-06,-0.208406
2020-07-07,-0.10693
2020-07-08,-0.180103
2020-07-09,-0.150609
2020-07-10,-0.337412
2020-07-11,-0.153865
2020-07-12,-0.121717
2020-07-13,-0.204449
2020-07-14,0.060452
2020-07-15,-0.144011
2020-07-16,-0.484249
2020-07-17,-0.151671
2020-07-18,-0.365669
2020-07-19,-0.294321
2020-07-20,-0.078413
2020-07-21,-0.442966
2020-07-22,-0.097907
2020-07-23,-0.000479
2020-07-24,-0.140819
2020-07-25,-0.417562
2020-07-26,-0.234975
2020-07-27,-0.115713
2020-07-28,-0.37738
2020-07-29,-0.088109
2020-07-30,-0.105639
2020-07-31,-0.279117
2020-08-01,-0.4556
2020-08-02,-0.300116
2020-08-03,-0.287287
2020-08-04,-0.127186
2020-08-05,-0.234024
2020-08-06,-0.187597
2020-08-07,-0.208251
2020-08-08,-0.512947
2020-08-09,-0.621316
2020-08-10,-0.434478
2020-08-11,-0.079791
2020-08-12,-0.084003
2020-08-13,-0.074935
2020-08-14,-0.214066
2020-08-15,-0.018963
2020-08-16,-0.225223
2020-08-17,-0.309443
2020-08-18,-0.139662
2020-08-19,-0.381444
2020-08-20,-0.321438
2020-08-21,-0.342834
2020-08-22,-0.182896
2020-08-23,-0.398458
2020-08-24,-0.489964
2020-08-25,-0.323916
2020-08-26,-0.237439
2020-08-27,-0.319554
2020-08-28,-0.051343
2020-08-29,-0.537912
2020-08-30,-0.648301
2020-08-31,-0.192475
2020-09-01,-0.111218
2020-09-02,-0.101135
2020-09-03,-0.323483
2020-09-04,-0.423839
2020-09-05,-0.268399
2020-09-06,-0.177861
2020-09-07,-0.073845
2020-09-08,-0.48231
2020-09-09,-0.257648
2020-09-10,-0.13193
2020-09-11,-0.417064
2020-09-12,-0.208476
2020-09-13,-0.211206
2020-09-14,-0.167898
2020-09-15,-0.701423
2020-09-16,-0.196402
2020-09-17,0.001048
2020-09-18,-0.413566
2020-09-19,-0.157266
2020-09-20,-0.254182
2020-09-21,-0.136531
2020-09-22,-0.18941
2020-09-23,0.049583
2020-09-24,-0.043923
2020-09-25,-0.130125
2020-09-26,-0.594648
2020-09-27,-0.639391
2020-09-28,-0.489441
2020-09-29,-0.130364
2020-09-30,-0.149593
2020-10-01,-0.077979
2020-10-02,-0.270592
2020-10-03,-0.334708
2020-10-04,-0.270397
2020-10-05,-0.153893
2020-10-06,-0.138669
2020-10-07,-0.091331
2020-10-08,-0.137634
2020-10-09,-0.237371
2020-10-10,-0.380487
2020-10-11,-0.016316
2020-10-12,-0.133204
2020-10-13,-0.110464
2020-10-14,-0.188567
2020-10-15,-0.373781
2020-10-16,-0.153638
2020-10-17,-0.428659
2020-10-18,-0.150807
2020-10-19,-0.118918
2020-10-20,-0.181359
2020-10-21,-0.301459
2020-10-22,-0.177612
2020-10-23,-0.264232
2020-10-24,-0.450134
2020-10-25,-0.694576
2020-10-26,-0.038701
2020-10-27,-0.342195
2020-10-28,-0.111349
2020-10-29,-0.041997
2020-10-30,-0.0673
2020-10-31,-0.068698
2020-11-01,-0.068222
2020-11-02,-0.205756
2020-11-03,-0.156663
2020-11-04,-0.225949
2020-11-05,-0.426778
2020-11-06,-0.284549
2020-11-07,-0.366195
2020-11-08,-0.043877
2020-11-09,-0.111986
2020-11-10,-0.241032
2020-11-11,-0.195464
2020-11-12,-0.523536
2020-11-13,-0.255727
2020-11-14,-0.477178
2020-11-15,-0.326735
2020-11-16,-0.103999
2020-11-17,-0.118465
2020-11-18,-0.306363
2020-11-19,-0.083754
2020-11-20,-0.265326
2020-11-21,-0.408919
2020-11-22,-0.591616
2020-11-23,-0.163167
2020-11-24,-0.118167
2020-11-25,-0.09149
2020-11-26,-0.453072
2020-11-27,-0.249648
2020-11-28,-0.170203
2020-11-29,0.004022
2020-11-30,0.018056
2020-12-01,-0.474892
2020-12-02,-0.049678
2020-12-03,-0.091351
2020-12-04,-0.063987
2020-12-05,-0.441874
2020-12-06,-0.134149
2020-12-07,-0.321849
2020-12-08,-0.112427
2020-12-09,-0.108407
2020-12-10,-0.104892
2020-12-11,-0.14727
2020-12-12,-0.347508
2020-12-13,-0.476795
2020-12-14,-0.075058
2020-12-15,-0.342558
2020-12-16,-0.226875
2020-12-17,-0.323463
2020-12-18,0.234324
2020-12-19,-0.144857
2020-12-20,-0.099445
2020-12-21,-0.416391
2020-12-22,-0.476559
2020-12-23,-0.261727
2020-12-24,-0.331282
2020-12-25,-0.216043
2020-12-26,-0.222034
2020-12-27,-0.475001
2020-12-28,-0.196726
2020-12-29,-0.083565
2020-12-30,-0.192979
2020-12-31,-0.027406
2021-01-01,0.161446
2021-01-02,-0.40769
2021-01-03,-0.54957
2021-01-04,-0.6183
2021-01-05,-0.28045
2021-01-06,-0.286237
2021-01-07,-0.674409
2021-01-08,-0.435188
2021-01-09,-0.204418
2021-01-10,-0.404947
2021-01-11,-0.19569
2021-01-12,-0.168121
2021-01-13,-0.366939
2021-01-14,-0.423911
2021-01-15,-0.232935
2021-01-16,-0.181676
2021-01-17,-0.136792
2021-01-18,-0.146512
2021-01-19,-0.50133
2021-01-20,0.044346
2021-01-21,-0.341892
2021-01-22,-0.254451
2021-01-23,-0.134241
2021-01-24,-0.31524
2021-01-25,-0.185585
2021-01-26,-0.034705
2021-01-27,-0.464351
2021-01-28,-0.07956
2021-01-29,-0.018868
2021-01-30,-0.213908
2021-01-31,0.007464
2021-02-01,-0.141403
2021-02-02,-0.150674
2021-02-03,-0.525489
2021-02-04,-0.188429
2021-02-05,0.402398
2021-02-06,-0.426244
2021-02-07,-0.212785
2021-02-08,-0.702347
2021-02-09,-0.472133
2021-02-10,-0.134354
2021-02-11,-0.874309
2021-02-12,-0.503208
2021-02-13,-0.414685
2021-02-14,-0.458167
2021-02-15,-0.37772
2021-02-16,-0.873314
2021-02-17,-0.34846
2021-02-18,-0.424196
2021-02-19,0.079459
2021-02-20,-0.31493
2021-02-21,-0.276576
2021-02-22,-0.619384
2021-02-23,-0.367149
2021-02-24,-0.419757
2021-02-25,-0.359368
2021-02-26,-0.329088
2021-02-27,-0.544489
2021-02-28,-0.436581
2021-03-01,-0.79471
2021-03-02,-0.645504
2021-03-03,-0.4146
2021-03-04,-0.131486
2021-03-05,-0.188912
2021-03-06,0.31822
2021-03-07,-0.421224
2021-03-08,-0.338904
2021-03-09,-0.669687
2021-03-10,-0.409129
2021-03-11,-0.111666
2021-03-12,-0.413564
2021-03-13,-0.366354
2021-03-14,-0.409653
2021-03-15,-0.459508
2021-03-16,-0.641497
2021-03-17,-0.69082
2021-03-18,-0.552953
2021-03-19,-0.323283
2021-03-20,-0.470581
2021-03-21,-0.561495
2021-03-22,-0.386517
2021-03-23,-0.489403
2021-03-24,-0.272386
2021-03-25,-0.348492
2021-03-26,-0.600269
2021-03-27,-0.312909
2021-03-28,-0.235994
2021-03-29,-0.222375
2021-03-30,-0.567076
2021-03-31,-0.281585
2021-04-01,-0.279546
2021-04-02,-0.273369
2021-04-03,-0.220521
2021-04-04,-0.299358
2021-04-05,-0.470303
2021-04-06,-0.263077
2021-04-07,-0.163688
2021-04-08,-0.217563
2021-04-09,-0.265702
2021-04-10,-0.213032
2021-04-11,-0.240431
2021-04-12,-0.185089
2021-04-13,-0.357858
2021-04-14,-0.139931
2021-04-15,0.07153
2021-04-16,-0.096344
2021-04-17,-0.29392
2021-04-18,-0.101719
2021-04-19,-0.257469
2021-04-20,0.183
2021-04-21,0.106123
2021-04-22,-0.158143
2021-04-23,-0.183462
2021-04-24,-0.207751
2021-04-25,-0.251427
2021-04-26,0.081169
2021-04-27,-0.164773
2021-04-28,-0.291886
2021-04-29,-0.021841
2021-04-30,-0.270592
2021-05-01,-0.382696
2021-05-02,-0.362617
2021-05-03,-0.020154
2021-05-04,-0.286315
2021-05-05,0.035159
2021-05-06,-0.371099
2021-05-07,-0.430422
2021-05-08,-0.344532
2021-05-09,-0.207168
2021-05-10,-0.617281
2021-05-11,0.07471
